,er,in,ti,on,es,te,at,al,an,re,en,is,ic,ri,ra,user_id,platform_id
0,"[296113000.0, 344222000.0, 303913000.0, 314749333.3333333, 21082197.234212145]","[584235000.0, 584235000.0, 584235000.0, 584235000.0, 584235000.0]","[183864000.0, 383948000.0, 305598000.0, 302564360.0, 51084838.9570761]","[159746000.0, 354297000.0, 175520000.0, 193848000.0, 57202109.001523905]","[231452000.0, 535961000.0, 271974500.0, 305245166.6666667, 77749172.70281544]","[200105000.0, 311246000.0, 247652000.0, 253029956.52173913, 26213189.248226304]","[200076000.0, 551918000.0, 240517000.0, 272068666.6666667, 77619881.61104816]","[143785000.0, 463865000.0, 179910500.0, 231633687.5, 100245172.06249808]","[120592000.0, 256036000.0, 172439000.0, 177785000.0, 34033437.89836428]","[303666000.0, 368208000.0, 335937000.0, 335937000.0, 32271000.0]","[144065000.0, 445918000.0, 228138500.0, 241929000.0, 69141594.28213237]","[143981000.0, 496011000.0, 192109000.0, 213436800.0, 60330827.33670597]","[240250000.0, 256124000.0, 248187000.0, 248187000.0, 7937000.0]","[176124000.0, 400143000.0, 191911000.0, 254386200.0, 87863363.13026038]","[223666000.0, 847960000.0, 271910000.0, 318788666.6666667, 139053712.50587547]",[233],[2]
0,"[4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454]","[270941000.0, 270941000.0, 270941000.0, 270941000.0, 270941000.0]","[167885000.0, 368075000.0, 321932000.0, 312671533.3333333, 52339427.086237356]","[143825000.0, 520006000.0, 175998000.0, 234484800.0, 143842927.97826385]","[240023000.0, 376366000.0, 287034000.0, 295219909.09090906, 40656311.26999404]","[223875000.0, 1072123000.0, 263910000.0, 327821750.0, 197415370.28575686]","[200048000.0, 424129000.0, 263705000.0, 266196882.3529412, 55282330.91821351]","[152390000.0, 368226000.0, 199858500.0, 223947750.0, 66798717.65002304]","[127890000.0, 239869000.0, 183371000.0, 182953666.66666666, 36045618.81529818]","[303972000.0, 336059000.0, 320015500.0, 320015500.0, 16043500.0]","[167722000.0, 272589000.0, 199254000.0, 207332000.0, 36840572.91145788]","[175950000.0, 416261000.0, 226419000.0, 262897636.36363637, 72520849.4989516]","[215459000.0, 288098000.0, 251778500.0, 251778500.0, 36319500.0]","[182913000.0, 231718000.0, 213823000.0, 209484666.66666666, 20159329.65706504]","[216051000.0, 319961000.0, 287439000.0, 266157857.14285713, 36445458.786005825]",[233],[3]
0,"[159339000.0, 519720000.0, 375996000.0, 357762750.0, 128835801.01310155]","[152135000.0, 311993000.0, 215989000.0, 226705666.66666666, 65700229.57511049]","[191450000.0, 327935000.0, 272760000.0, 277581571.4285714, 45395511.53034891]","[247994000.0, 391889000.0, 367477000.0, 335786666.6666667, 62873686.47446154]","[247370000.0, 519978000.0, 291804500.0, 330170857.14285713, 91565453.07581672]","[199558000.0, 552011000.0, 264138500.0, 280257363.6363636, 78666782.09646828]","[175909000.0, 368067000.0, 272003000.0, 275854476.1904762, 51419925.59182171]","[151977000.0, 520129000.0, 271522000.0, 268234272.72727272, 93952661.52414776]","[136699000.0, 504460000.0, 168150000.0, 194855533.33333334, 87318211.28559354]","[224026000.0, 224026000.0, 224026000.0, 224026000.0, 224026000.0]","[159773000.0, 415621000.0, 216036000.0, 227157266.66666666, 67689176.70496188]","[127969000.0, 544999000.0, 231348000.0, 269207933.3333333, 104750904.07467718]","[183946000.0, 247887000.0, 200128500.0, 208022500.0, 26529668.283828955]","[191967000.0, 1383199000.0, 240069000.0, 392696222.2222222, 358952711.0113463]","[255864000.0, 400087000.0, 363686000.0, 350940500.0, 40699419.157403216]",[234],[1]
0,"[183823000.0, 1239891000.0, 223954000.0, 412663400.0, 414083051.19654435]","[279217000.0, 352150000.0, 315683500.0, 315683500.0, 36466500.0]","[223546000.0, 320055000.0, 319762000.0, 287787666.6666667, 45425875.62416626]","[232007000.0, 407461000.0, 280063000.0, 299898500.0, 68955095.58219755]","[255886000.0, 567977000.0, 313450000.0, 346766000.0, 99665633.11281265]","[207936000.0, 376172000.0, 272023000.0, 287999769.2307692, 59407630.19000926]","[255385000.0, 319854000.0, 279894500.0, 283757000.0, 23805016.435617093]","[231962000.0, 1504025000.0, 303999000.0, 476722000.0, 422962455.7553205]","[128036000.0, 279951000.0, 191978000.0, 197024823.52941176, 35012816.59660762]","[239961000.0, 319938000.0, 288178000.0, 284063750.0, 30701823.458672613]","[159985000.0, 208297000.0, 184141000.0, 184141000.0, 24156000.0]","[135936000.0, 775851000.0, 208516000.0, 277538900.0, 176750573.61969152]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[192002000.0, 320036000.0, 243504000.0, 249761500.0, 52188792.391183]","[288008000.0, 1191832000.0, 301393000.0, 520656500.0, 387549186.44831395]",[234],[2]
0,"[175942000.0, 599710000.0, 193094000.0, 322915333.3333333, 195848603.76888627]","[144484000.0, 144484000.0, 144484000.0, 144484000.0, 144484000.0]","[295003000.0, 295003000.0, 295003000.0, 295003000.0, 295003000.0]","[351610000.0, 351610000.0, 351610000.0, 351610000.0, 351610000.0]","[304068000.0, 391854000.0, 335259000.0, 343727000.0, 36335251.17568337]","[216049000.0, 519938000.0, 287914000.0, 295991000.0, 75618955.2460228]","[304031000.0, 415876000.0, 359613000.0, 359783250.0, 41079800.98159557]","[160582000.0, 255999000.0, 213734000.0, 210105000.0, 39038256.47575294]","[191953000.0, 304039000.0, 247996000.0, 247996000.0, 56043000.0]","[14916010472.09317, 14916010472.09317, 14916010472.09317, 14916010472.09317, 14916010472.09317]","[200310000.0, 392053000.0, 255886000.0, 276033750.0, 74221394.05984975]","[159886000.0, 567837000.0, 231514000.0, 315006400.0, 151664058.45103842]","[160202000.0, 511978000.0, 224105000.0, 298761666.6666667, 153007193.62682122]","[520152000.0, 520152000.0, 520152000.0, 520152000.0, 520152000.0]","[24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937]",[234],[3]
0,"[4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454]","[174168000.0, 511142000.0, 218036000.0, 232536413.79310346, 66042470.438513115]","[178928000.0, 1050138000.0, 265854000.0, 498306666.6666667, 391814069.6004788]","[177274000.0, 394870000.0, 229617500.0, 246681000.0, 53254233.622001044]","[328998000.0, 1165607000.0, 395057000.0, 552318750.0, 309060131.3639265]","[276124000.0, 869218000.0, 308208000.0, 375468200.0, 170665712.9541842]","[175762000.0, 342052000.0, 284015000.0, 286599500.0, 40781696.52245968]","[186461000.0, 450612000.0, 269270000.0, 305795000.0, 94007441.78749134]","[193529000.0, 366404000.0, 246589000.0, 259078923.07692307, 50196679.64572579]","[264268000.0, 470576000.0, 338218500.0, 352820250.0, 74549178.99740748]","[246688000.0, 325916000.0, 286806500.0, 284898166.6666667, 30431557.2469143]","[214119000.0, 1025726000.0, 253988000.0, 375364333.3333333, 291824966.4505916]","[758200000.0, 860313000.0, 809256500.0, 809256500.0, 51056500.0]","[138568000.0, 235524000.0, 209734000.0, 200023666.66666666, 31048974.583175313]","[396327000.0, 1083521000.0, 433456000.0, 560905400.0, 262649174.83563507]",[235],[1]
0,"[741300000.0, 741300000.0, 741300000.0, 741300000.0, 741300000.0]","[192655000.0, 383361000.0, 216746000.0, 224498433.33333334, 34729908.49271306]","[167166000.0, 235382000.0, 208462000.0, 203670000.0, 28054448.393555462]","[202216000.0, 261613000.0, 225950000.0, 226797833.33333334, 21112193.044278678]","[322225000.0, 1764668000.0, 367704000.0, 576438285.7142857, 490056760.9709582]","[278640000.0, 351837000.0, 311448000.0, 317751571.4285714, 25165988.884417243]","[201965000.0, 344288000.0, 267357000.0, 276645200.0, 48553532.379838236]","[195087000.0, 401306000.0, 266003500.0, 285422666.6666667, 74292916.56604208]","[187478000.0, 318335000.0, 236830000.0, 244687400.0, 38147910.194924176]","[365719000.0, 489708000.0, 467264000.0, 440897000.0, 53942760.07646129]","[247553000.0, 380558000.0, 290069500.0, 298708000.0, 43870985.3471897]","[226954000.0, 247877000.0, 233828000.0, 236219666.66666666, 8707584.216583202]","[225490000.0, 588466000.0, 406978000.0, 406978000.0, 181488000.0]","[137688000.0, 302813000.0, 221467000.0, 222872111.1111111, 43584126.23483831]","[294552000.0, 2229970000.0, 363293000.0, 663018857.1428572, 648911846.3039113]",[235],[2]
0,"[4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454]","[186127000.0, 328205000.0, 217304000.0, 225296533.33333334, 30265031.596143357]","[162548000.0, 178445000.0, 168913000.0, 169704750.0, 7022933.481637143]","[221184000.0, 263084000.0, 233139000.0, 239506000.0, 15962627.78223829]","[315048000.0, 826077000.0, 396379500.0, 440606500.0, 159832890.18065086]","[257165000.0, 364369000.0, 320870000.0, 314781454.54545456, 32497871.906168748]","[250082000.0, 304727000.0, 263082000.0, 274389800.0, 24618700.358873535]","[209796000.0, 371028000.0, 277170000.0, 280317000.0, 52206249.8327547]","[110074000.0, 285030000.0, 212651000.0, 210583500.0, 46316169.7115597]","[228470000.0, 416480000.0, 320433000.0, 331164200.0, 63822028.72175092]","[220086000.0, 424141000.0, 254036500.0, 279392666.6666667, 68616450.64090358]","[244030000.0, 1176800000.0, 259628500.0, 485021750.0, 399580044.7196875]","[217201000.0, 299397000.0, 258299000.0, 258299000.0, 41098000.0]","[148775000.0, 281608000.0, 194005000.0, 206223818.1818182, 38815036.781260155]","[421205000.0, 470815000.0, 438350000.0, 443456666.6666667, 20572579.78205186]",[235],[3]
0,"[168016000.0, 367447000.0, 199263000.0, 206419608.6956522, 38865907.21815663]","[176471000.0, 232001000.0, 184320000.0, 194278000.0, 22618220.288077485]","[208006000.0, 439910000.0, 320128000.0, 328106400.0, 95506230.04307102]","[167841000.0, 311975000.0, 211947000.0, 225927500.0, 54768663.57005619]","[192002000.0, 360597000.0, 231429500.0, 231545944.44444445, 35072977.378083825]","[207452000.0, 1344272000.0, 220214000.0, 332826700.0, 337382528.06837815]","[167747000.0, 320030000.0, 279322000.0, 275780100.0, 34256973.762870535]","[143951000.0, 384092000.0, 216138000.0, 226079181.8181818, 68527836.77099691]","[135896000.0, 264504000.0, 180183500.0, 187430312.5, 32743917.35444682]","[182909000.0, 424051000.0, 207931500.0, 219287785.7142857, 58219952.96064569]","[119870000.0, 400010000.0, 183264000.0, 206076588.2352941, 83348832.91469783]","[143994000.0, 439895000.0, 236137500.0, 245202500.0, 70906400.40555029]","[184175000.0, 400321000.0, 200092000.0, 261529333.33333334, 98355419.35359852]","[160001000.0, 407985000.0, 231896000.0, 237354444.44444445, 71477430.82821645]","[248059000.0, 488145000.0, 263929000.0, 305504400.0, 91677059.42404567]",[236],[1]
0,"[183881000.0, 216362000.0, 191917000.0, 197772727.27272728, 11908174.038265472]","[135859000.0, 344059000.0, 211520000.0, 225739500.0, 77623358.49955218]","[169033000.0, 327818000.0, 212883000.0, 227091666.66666666, 50948540.4457827]","[296060000.0, 328389000.0, 312224500.0, 312224500.0, 16164500.0]","[191219000.0, 255485000.0, 215957000.0, 217023000.0, 22396914.903620098]","[199859000.0, 255016000.0, 231850500.0, 229741200.0, 15245539.411906684]","[231809000.0, 631761000.0, 279869500.0, 298812812.5, 89767967.16759461]","[200175000.0, 200175000.0, 200175000.0, 200175000.0, 200175000.0]","[151644000.0, 319982000.0, 195949000.0, 214622333.33333334, 62967552.90270979]","[183648000.0, 240109000.0, 215237000.0, 211284428.57142857, 15983221.41548213]","[111901000.0, 191647000.0, 163833000.0, 160884750.0, 22407084.614860095]","[151784000.0, 263881000.0, 203870000.0, 207881700.0, 31461673.67464738]","[215915000.0, 215915000.0, 215915000.0, 215915000.0, 215915000.0]","[151351000.0, 232043000.0, 201848500.0, 196772750.0, 35740771.706658766]","[239649000.0, 336293000.0, 247261000.0, 274401000.0, 43874444.98414387]",[236],[2]
0,"[151257000.0, 423946000.0, 214650000.0, 232015000.0, 82560574.26433723]","[199784000.0, 199784000.0, 199784000.0, 199784000.0, 199784000.0]","[143541000.0, 328510000.0, 243566500.0, 241925250.0, 62048390.738096505]","[5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858]","[199775000.0, 232769000.0, 216272000.0, 216272000.0, 16497000.0]","[208008000.0, 296209000.0, 261767000.0, 257014000.0, 29240928.473630928]","[167621000.0, 1040193000.0, 291792500.0, 405551500.0, 263215255.85867926]","[113243000.0, 271745000.0, 191511000.0, 190120875.0, 47986149.19546447]","[159721000.0, 248437000.0, 176441500.0, 192222666.66666666, 36274524.70934511]","[191427000.0, 224711000.0, 207858000.0, 207834000.0, 13055766.366957225]","[136030000.0, 248303000.0, 184036000.0, 189294000.0, 30641998.29754363]","[183999000.0, 399780000.0, 219405500.0, 256003750.0, 75162118.4270208]","[176670000.0, 176670000.0, 176670000.0, 176670000.0, 176670000.0]","[175855000.0, 190462000.0, 183158500.0, 183158500.0, 7303500.0]","[295196000.0, 295196000.0, 295196000.0, 295196000.0, 295196000.0]",[236],[3]
0,"[207958000.0, 304132000.0, 240150000.0, 245297258.06451613, 25434562.85599063]","[183772000.0, 328141000.0, 239994500.0, 242035777.7777778, 35762307.865118355]","[168675000.0, 4816889000.0, 288177000.0, 542536705.882353, 1069819295.1530901]","[183438000.0, 856094000.0, 239804000.0, 268336894.7368421, 141695178.72973686]","[255408000.0, 456104000.0, 273573000.0, 305826666.6666667, 60918232.1987615]","[232067000.0, 472006000.0, 292048000.0, 295620468.75, 51571381.83078405]","[247769000.0, 488083000.0, 347652000.0, 350969416.6666667, 51861194.56640163]","[176595000.0, 567830000.0, 247942000.0, 283185444.4444444, 112005152.33596386]","[135972000.0, 375882000.0, 199964000.0, 221191111.1111111, 65505241.06842214]","[216064000.0, 536783000.0, 265754000.0, 282381304.34782606, 65442676.78659186]","[146109000.0, 263771000.0, 191809000.0, 198434533.33333334, 31461448.391889963]","[199962000.0, 532780000.0, 239633000.0, 271611800.0, 84432653.46787739]","[200218000.0, 1161138000.0, 251104500.0, 465891250.0, 403159031.9795496]","[160624000.0, 247543000.0, 192132500.0, 200063500.0, 33141450.796799265]","[279928000.0, 399491000.0, 320045000.0, 333154666.6666667, 49683835.482199065]",[237],[1]
0,"[207655000.0, 496011000.0, 247063000.0, 253514869.5652174, 55965613.24778259]","[184140000.0, 303999000.0, 240215000.0, 239259555.55555555, 31451962.592397634]","[160405000.0, 1184184000.0, 313043000.0, 370935428.5714286, 225462444.39829534]","[184085000.0, 303305000.0, 223902000.0, 229322080.0, 27680281.271576703]","[208510000.0, 671909000.0, 276020000.0, 294855583.3333333, 86252372.58906595]","[231886000.0, 408105000.0, 280264000.0, 290785000.0, 42634800.16985901]","[176121000.0, 463650000.0, 328010000.0, 335586833.3333333, 62453502.29348409]","[164717000.0, 359645000.0, 239699000.0, 244772000.0, 49207521.44630828]","[151986000.0, 432032000.0, 208344500.0, 244390055.55555555, 76255572.38106327]","[207956000.0, 831912000.0, 271662000.0, 295272656.25, 113819655.84495099]","[175603000.0, 543581000.0, 214768000.0, 254277181.8181818, 99008410.71785787]","[200119000.0, 343732000.0, 247973000.0, 252356454.54545453, 46022149.40530589]","[247460000.0, 360084000.0, 359938000.0, 322494000.0, 53057083.69922593]","[223309000.0, 255783000.0, 238967000.0, 239353000.0, 13260264.351311654]","[273906000.0, 407857000.0, 340881500.0, 340881500.0, 66975500.0]",[237],[2]
0,"[215726000.0, 319514000.0, 235030000.0, 243561500.0, 26770939.582409132]","[191551000.0, 271203000.0, 231988500.0, 227352357.14285713, 22632771.077757213]","[152103000.0, 360421000.0, 264040000.0, 252188875.0, 74141660.77421907]","[191977000.0, 256620000.0, 230477000.0, 229916631.57894737, 18234871.636540465]","[231921000.0, 1127553000.0, 280436000.0, 341334066.6666667, 212846387.27729335]","[231704000.0, 351772000.0, 275469500.0, 279856181.8181818, 32395354.133293368]","[295200000.0, 752116000.0, 335668000.0, 351883526.31578946, 97509557.8933937]","[184290000.0, 920224000.0, 219866000.0, 318003625.0, 230674850.74122053]","[150017000.0, 359836000.0, 199923000.0, 239777545.45454547, 73038684.54750367]","[207141000.0, 592027000.0, 264422000.0, 273194058.8235294, 84896102.3420916]","[167989000.0, 367977000.0, 192741000.0, 233741777.7777778, 66062713.03470796]","[207350000.0, 304833000.0, 239741000.0, 244989250.0, 31147715.408798445]","[208017000.0, 208017000.0, 208017000.0, 208017000.0, 208017000.0]","[327975000.0, 327975000.0, 327975000.0, 327975000.0, 327975000.0]","[437367000.0, 711733000.0, 574550000.0, 574550000.0, 137183000.0]",[237],[3]
0,"[293966000.0, 1407414000.0, 337961500.0, 554958666.6666666, 398261749.01424927]","[232941000.0, 1126701000.0, 386309000.0, 451215555.5555556, 245976918.34990042]","[219513000.0, 613429000.0, 376184000.0, 371302520.0, 96549825.17814106]","[272757000.0, 1146286000.0, 313179000.0, 458725600.0, 281914491.87340474]","[261371000.0, 1246354000.0, 340242000.0, 393933023.8095238, 189434756.89000586]","[199053000.0, 1453011000.0, 323862500.0, 355367333.3333333, 202286670.72759777]","[176315000.0, 1790937000.0, 326268000.0, 409793333.3333333, 313377301.35382426]","[244751000.0, 442113000.0, 310686000.0, 309734071.4285714, 55566930.66469388]","[194038000.0, 613411000.0, 278984500.0, 333985285.71428573, 132601159.48880506]","[277225000.0, 752609000.0, 359160000.0, 394192142.85714287, 150794293.61070338]","[215108000.0, 815591000.0, 352417000.0, 410163153.84615386, 170415838.84037495]","[214581000.0, 449573000.0, 422550000.0, 372797555.5555556, 75909747.65705669]","[207176000.0, 296105000.0, 272653000.0, 258126800.0, 33151021.977610283]","[184226000.0, 678971000.0, 330157000.0, 340579777.7777778, 141144276.22336403]","[223873000.0, 590542000.0, 409504000.0, 392538230.7692308, 96230547.1204471]",[238],[1]
0,"[301682000.0, 513951000.0, 349187000.0, 377580111.1111111, 64425243.588457614]","[325451000.0, 1003739000.0, 429951000.0, 507290666.6666667, 226151621.0352888]","[282761000.0, 531491000.0, 331581500.0, 363158000.0, 71533125.71896324]","[167876000.0, 513983000.0, 342504000.0, 357227571.4285714, 111890487.35623741]","[292418000.0, 520439000.0, 364774000.0, 371968523.8095238, 57845223.21606253]","[235788000.0, 431839000.0, 331731000.0, 326927300.0, 44630097.70894525]","[162437000.0, 1539764000.0, 258189000.0, 345756125.0, 320540001.04294217]","[207614000.0, 586058000.0, 275140000.0, 313888666.6666667, 101567285.91458745]","[201113000.0, 941441000.0, 254834000.0, 319248636.3636364, 199012630.46910214]","[315032000.0, 867064000.0, 410578500.0, 470992000.0, 180846943.09184954]","[225043000.0, 421562000.0, 279314000.0, 308147833.3333333, 78807035.50744833]","[230286000.0, 1303596000.0, 357174000.0, 481804800.0, 302255118.33608377]","[181610000.0, 437880000.0, 280727000.0, 300072333.3333333, 105512273.11339451]","[216190000.0, 926596000.0, 345956500.0, 408080250.0, 211277689.01125717]","[288355000.0, 845172000.0, 377758000.0, 439779142.85714287, 171635067.23230174]",[238],[2]
0,"[303412000.0, 456019000.0, 362912000.0, 374114333.3333333, 62803096.08256233]","[245812000.0, 388514000.0, 319093000.0, 311769000.0, 54243696.26417433]","[278647000.0, 410052000.0, 360045000.0, 342878333.3333333, 43067896.11248215]","[261202000.0, 261202000.0, 261202000.0, 261202000.0, 261202000.0]","[332758000.0, 842649000.0, 351896000.0, 416534181.8181818, 144220716.95830297]","[216312000.0, 572332000.0, 326408000.0, 342183000.0, 79387543.5107213]","[223145000.0, 429352000.0, 369610500.0, 339702166.6666667, 65844444.13898732]","[205123000.0, 780334000.0, 350021000.0, 387948111.1111111, 156593060.5958177]","[258507000.0, 685533000.0, 315504000.0, 419848000.0, 189303202.8624978]","[218591000.0, 403271000.0, 339195000.0, 319830666.6666667, 78803351.58834018]","[207482000.0, 611989000.0, 285118000.0, 329812300.0, 122593238.77853134]","[291281000.0, 486496000.0, 295573000.0, 342230750.0, 83316582.16218126]","[262376000.0, 262376000.0, 262376000.0, 262376000.0, 262376000.0]","[323488000.0, 829116000.0, 431624000.0, 503963000.0, 193733901.70282537]","[343283000.0, 523701000.0, 421149000.0, 425669900.0, 56377367.99718483]",[238],[3]
0,"[240378000.0, 726968000.0, 269149000.0, 308223200.0, 116009020.01666364]","[268980000.0, 1349211000.0, 319882000.0, 392792480.0, 248873425.46155787]","[162372000.0, 1747241000.0, 387533500.0, 526243777.7777778, 368086315.87827265]","[306881000.0, 358578000.0, 331385000.0, 331370666.6666667, 15149175.188401807]","[294933000.0, 1276213000.0, 344554000.0, 498935642.85714287, 317559447.8029962]","[213173000.0, 1100731000.0, 250421000.0, 410423000.0, 345573983.0299729]","[169349000.0, 1119767000.0, 225198500.0, 362428450.0, 295164568.5990232]","[179504000.0, 2036370000.0, 210315500.0, 444187125.0, 602371764.1213019]","[159291000.0, 275074000.0, 198995000.0, 211309181.8181818, 33158138.06818411]","[173286000.0, 450859000.0, 282519000.0, 281604636.3636364, 67807474.14457914]","[147521000.0, 437352000.0, 232276000.0, 258775062.5, 85800060.60929441]","[185529000.0, 863035000.0, 221017500.0, 292714357.14285713, 178034068.84221712]","[286538000.0, 496189000.0, 293423000.0, 358716666.6666667, 97248248.07447974]","[197252000.0, 268259000.0, 226683500.0, 227276125.0, 20265249.223964036]","[417147000.0, 2116095000.0, 761877000.0, 1014249000.0, 672504984.2521615]",[239],[1]
0,"[248071000.0, 307624000.0, 272455500.0, 273037714.28571427, 18711383.09551004]","[264380000.0, 468763000.0, 312653000.0, 327689571.4285714, 48918217.89337736]","[147113000.0, 2355311000.0, 383376500.0, 584801900.0, 606751751.0277905]","[274025000.0, 493130000.0, 342048000.0, 356950153.84615386, 56766495.642366305]","[323220000.0, 434654000.0, 340866500.0, 356509600.0, 40548515.137301885]","[144282000.0, 259063000.0, 218778000.0, 207832125.0, 35120798.846401185]","[160257000.0, 456385000.0, 212459500.0, 246884142.85714287, 75786521.02815527]","[176068000.0, 454984000.0, 216231000.0, 251054222.2222222, 87826588.2910153]","[127688000.0, 248987000.0, 214219500.0, 206936166.66666666, 38375870.28944389]","[148520000.0, 611808000.0, 273521000.0, 273951555.5555556, 132200936.05157861]","[161424000.0, 300276000.0, 212012000.0, 221729235.29411766, 35560016.70503381]","[188239000.0, 740768000.0, 231033000.0, 308247230.7692308, 175356937.40927997]","[324464000.0, 369316000.0, 346890000.0, 346890000.0, 22426000.0]","[203638000.0, 894462000.0, 262734000.0, 399111428.5714286, 239178137.5591107]","[395177000.0, 759079000.0, 470372000.0, 518461400.0, 126937417.61135682]",[239],[2]
0,"[228368000.0, 465334000.0, 283555000.0, 289864818.1818182, 51079978.85458767]","[266125000.0, 1135209000.0, 316944000.0, 372951684.2105263, 187649263.1163544]","[137724000.0, 704719000.0, 412547500.0, 433333300.0, 161316969.916404]","[288085000.0, 387817000.0, 314576500.0, 324688166.6666667, 29074398.657677438]","[306205000.0, 406917000.0, 329234000.0, 332769083.3333333, 26920276.885210317]","[168607000.0, 473379000.0, 216385000.0, 233993769.23076922, 72847764.45136893]","[164321000.0, 636465000.0, 217085000.0, 277713230.7692308, 127956023.03926012]","[176336000.0, 399083000.0, 214963000.0, 230582615.3846154, 58031872.30842464]","[168560000.0, 815390000.0, 206834500.0, 307690333.3333333, 226029770.94818482]","[157912000.0, 346225000.0, 246189500.0, 243634125.0, 58597418.85193729]","[180252000.0, 442693000.0, 212471000.0, 238152230.76923078, 75189749.66673812]","[216086000.0, 1778962000.0, 230777000.0, 392935384.61538464, 410860929.3418167]","[244051000.0, 244051000.0, 244051000.0, 244051000.0, 244051000.0]","[178404000.0, 925718000.0, 216140000.0, 350203000.0, 288308530.7735447]","[436046000.0, 568057000.0, 482300000.0, 491074400.0, 51546347.93891804]",[239],[3]
0,"[274850000.0, 435882000.0, 317230000.0, 325163764.7058824, 41178917.57930823]","[221698000.0, 708069000.0, 260136000.0, 341447800.0, 184027802.9770502]","[297165000.0, 463455000.0, 343572000.0, 361941000.0, 66874160.13678228]","[467564000.0, 467564000.0, 467564000.0, 467564000.0, 467564000.0]","[273403000.0, 442414000.0, 324572500.0, 341522250.0, 50494389.32383973]","[196251000.0, 466147000.0, 288450000.0, 287771000.0, 64242908.35793251]","[298228000.0, 317376000.0, 307802000.0, 307802000.0, 9574000.0]","[172182000.0, 394143000.0, 226166000.0, 248874800.0, 75578960.32468295]","[149878000.0, 303171000.0, 196622000.0, 213222214.2857143, 44684205.91723748]","[298346000.0, 360097000.0, 329221500.0, 329221500.0, 30875500.0]","[167966000.0, 217802000.0, 206347000.0, 197705400.0, 20308204.72222988]","[178453000.0, 550728000.0, 300544000.0, 326197454.54545456, 117435219.24515246]","[163993000.0, 273045000.0, 220660000.0, 218660400.0, 42773455.771541305]","[240399000.0, 240399000.0, 240399000.0, 240399000.0, 240399000.0]","[202155000.0, 541014000.0, 356881000.0, 364232750.0, 123052727.48373967]",[240],[1]
0,"[258329000.0, 378134000.0, 312665500.0, 314084650.0, 32932235.181164064]","[237431000.0, 558172000.0, 364406000.0, 386669666.6666667, 131884925.62415497]","[252736000.0, 719351000.0, 486043500.0, 486043500.0, 233307500.0]","[110880000.0, 498329000.0, 304604500.0, 304604500.0, 193724500.0]","[279962000.0, 425111000.0, 330826000.0, 335605722.2222222, 36661660.16851567]","[199899000.0, 429482000.0, 317568500.0, 307744555.5555556, 51057566.38912833]","[133583000.0, 394729000.0, 245855000.0, 255005500.0, 121523651.3883203]","[170940000.0, 346863000.0, 244486000.0, 258266166.66666666, 66700687.02149094]","[137594000.0, 311357000.0, 192374000.0, 226196454.54545453, 57233906.71996585]","[274012000.0, 378233000.0, 311033500.0, 318578000.0, 39882950.81234587]","[153950000.0, 279549000.0, 194144000.0, 200483285.7142857, 37235197.34918365]","[193942000.0, 512341000.0, 296214000.0, 316526260.8695652, 86176560.50388512]","[176869000.0, 325659000.0, 214517000.0, 237511428.57142857, 52177600.91362999]","[248008000.0, 283520000.0, 265764000.0, 265764000.0, 17756000.0]","[334351000.0, 461774000.0, 403196500.0, 400629500.0, 49574874.68718403]",[240],[2]
0,"[280085000.0, 872149000.0, 325157500.0, 374784312.5, 146215290.31180304]","[204049000.0, 570355000.0, 260566000.0, 344990000.0, 161018798.57333428]","[267206000.0, 382125000.0, 327599000.0, 322552333.3333333, 41274543.044781916]","[5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858]","[250765000.0, 794367000.0, 324149500.0, 356208500.0, 121886693.38968967]","[193133000.0, 477125000.0, 326614000.0, 314696913.04347825, 61619802.98284482]","[309602000.0, 667336000.0, 362528000.0, 414254400.0, 129390738.7313327]","[249632000.0, 553840000.0, 386588000.0, 394162000.0, 109090190.89038207]","[158833000.0, 304479000.0, 207960000.0, 217295909.0909091, 40052083.82379248]","[317284000.0, 372408000.0, 344846000.0, 344846000.0, 27562000.0]","[150916000.0, 409602000.0, 173061000.0, 207656500.0, 80224954.34713565]","[200096000.0, 909933000.0, 302131000.0, 352304428.5714286, 173805323.88718885]","[192921000.0, 237983000.0, 209547000.0, 215509800.0, 16655924.53633241]","[258266000.0, 258266000.0, 258266000.0, 258266000.0, 258266000.0]","[324342000.0, 525398000.0, 334943000.0, 379906500.0, 84212421.24680895]",[240],[3]
