,er,in,ti,on,es,te,at,al,an,re,en,is,ic,ri,ra,user_id,platform_id
0,"[190574000.0, 804227000.0, 281215000.0, 288464119.04761904, 89507527.05943424]","[224992000.0, 1965408000.0, 293830000.0, 366357187.5, 269364117.41758096]","[175786000.0, 473889000.0, 397029500.0, 376930000.0, 79223118.99764037]","[227837000.0, 1907872000.0, 303764000.0, 349940574.4680851, 240909193.92732307]","[270765000.0, 913453000.0, 367742000.0, 395094032.2580645, 114438416.0082742]","[180019000.0, 388986000.0, 266126500.0, 267132333.33333334, 41565332.267073505]","[178896000.0, 1040948000.0, 269937000.0, 312096325.5813953, 136633417.22946468]","[227316000.0, 1271303000.0, 396811500.0, 448775882.35294116, 219946079.23544577]","[186328000.0, 1333289000.0, 281915000.0, 319409056.6037736, 159555433.44667172]","[201417000.0, 582394000.0, 265536000.0, 273656088.2352941, 59774053.11492882]","[218039000.0, 688825000.0, 283105000.0, 312548000.0, 103578579.76126145]","[214721000.0, 892234000.0, 280223000.0, 295714456.5217391, 99235690.05473492]","[288665000.0, 476606000.0, 375376000.0, 381944000.0, 52337316.430163965]","[200133000.0, 537048000.0, 318832000.0, 343311000.0, 97474842.77132289]","[235188000.0, 376865000.0, 266881000.0, 286326928.5714286, 41494959.20068276]",[38],[1]
0,"[199394000.0, 395490000.0, 273456000.0, 273757258.0645161, 45090516.31134562]","[251403000.0, 806208000.0, 301743000.0, 321203717.94871795, 95772884.5470309]","[197954000.0, 665006000.0, 417396000.0, 405118148.1481481, 96954511.74179138]","[245707000.0, 1837813000.0, 305621500.0, 371756526.31578946, 267413529.96718854]","[320619000.0, 3229811000.0, 395787000.0, 539066043.4782609, 589135896.8318496]","[234022000.0, 1084656000.0, 279761000.0, 333551666.6666667, 206929063.57901704]","[176195000.0, 474579000.0, 233510000.0, 253981294.11764705, 65596311.649149284]","[203762000.0, 1577866000.0, 329880500.0, 483871066.6666667, 325040263.5458089]","[163986000.0, 966953000.0, 265396000.0, 292071303.030303, 125530396.18149833]","[222817000.0, 402803000.0, 270002000.0, 287608787.8787879, 43494387.72138349]","[192283000.0, 1587274000.0, 254020000.0, 351551500.0, 298040340.6198488]","[206989000.0, 1158345000.0, 289779000.0, 376223851.8518519, 254649917.33979264]","[408132000.0, 1057560000.0, 442527000.0, 636073000.0, 298366913.2494419]","[200189000.0, 1194929000.0, 300769500.0, 357409833.3333333, 256365686.96682522]","[241913000.0, 503846000.0, 325461000.0, 322785142.85714287, 86273223.82396285]",[38],[2]
0,"[178315000.0, 644056000.0, 276146000.0, 287133600.0, 80322413.99410254]","[258584000.0, 1140363000.0, 307772500.0, 339917625.0, 149850867.62706572]","[223762000.0, 531657000.0, 409968000.0, 398962560.0, 73517825.17299053]","[260538000.0, 1401400000.0, 321512000.0, 402080029.4117647, 245984894.7973032]","[307374000.0, 1802954000.0, 380914000.0, 472634428.5714286, 314732897.47499675]","[210783000.0, 790846000.0, 276114000.0, 328721533.3333333, 145319786.64075845]","[176198000.0, 753108000.0, 238413000.0, 265760393.93939394, 112158098.28147739]","[216484000.0, 852259000.0, 315846000.0, 439721173.9130435, 201874681.40551564]","[196235000.0, 439255000.0, 261498000.0, 268904342.1052632, 46556422.3079889]","[223657000.0, 355216000.0, 277299000.0, 278910300.0, 32715458.896521688]","[212022000.0, 473404000.0, 279570000.0, 285457052.6315789, 61500770.50392277]","[210122000.0, 1047626000.0, 293202000.0, 361915833.3333333, 217158731.18053278]","[282501000.0, 412281000.0, 364878500.0, 356134750.0, 46746495.774416074]","[230957000.0, 439064000.0, 262396500.0, 287027214.28571427, 65172009.87077918]","[224796000.0, 737457000.0, 278536000.0, 328731250.0, 159735462.6646428]",[38],[3]
0,"[200361000.0, 4704071000.0, 280433500.0, 525189548.38709676, 750712634.8666587]","[221281000.0, 2375220000.0, 287560500.0, 369132245.61403507, 288645019.9519515]","[160318000.0, 1727837000.0, 236131500.0, 409547770.8333333, 413210390.4370952]","[245762000.0, 1338451000.0, 343312000.0, 404051452.05479455, 233739465.22084615]","[225776000.0, 2155211000.0, 323528000.0, 418001786.6666667, 295180484.7102325]","[179199000.0, 30260815000.0, 272791000.0, 932859446.8085107, 4325480448.602369]","[190578000.0, 1206735000.0, 288481000.0, 370942666.6666667, 229940307.31986845]","[204101000.0, 2179891000.0, 316667000.0, 385474138.46153843, 289084221.70491195]","[176378000.0, 691713000.0, 237617000.0, 258752047.6190476, 76250962.48769139]","[228458000.0, 7224170000.0, 290444000.0, 557606984.375, 1045239123.15567]","[165736000.0, 3035494000.0, 260083000.0, 357919157.8947368, 413478689.4817731]","[188400000.0, 1176215000.0, 259656000.0, 316215558.1395349, 197244415.04426324]","[215541000.0, 2147389000.0, 376180000.0, 660549210.5263158, 512141905.44650483]","[177327000.0, 1433658000.0, 291580000.0, 412916648.6486486, 311539044.32716286]","[279973000.0, 1711960000.0, 372128000.0, 592993956.5217391, 417038934.1302276]",[39],[1]
0,"[208552000.0, 2049484000.0, 285442000.0, 455927900.0, 489666790.9093795]","[237592000.0, 901880000.0, 288878500.0, 336515274.1935484, 134942152.82951257]","[154004000.0, 1353125000.0, 303888000.0, 456424590.90909094, 326456359.4172566]","[247825000.0, 2387476000.0, 347937500.0, 420881312.5, 362850268.24818164]","[221012000.0, 1441567000.0, 330428000.0, 446537250.0, 267055790.24861547]","[198195000.0, 1117711000.0, 278447000.0, 360835608.6956522, 230427864.49365827]","[214649000.0, 3815682000.0, 303548000.0, 495367043.4782609, 717409432.537199]","[194559000.0, 2304202000.0, 283756000.0, 412826848.4848485, 406799079.7457725]","[175172000.0, 500493000.0, 240083000.0, 256649615.3846154, 65408864.05413315]","[211600000.0, 5965360000.0, 280325500.0, 575917447.3684211, 1009088203.279671]","[163925000.0, 1654775000.0, 276610000.0, 330838634.61538464, 227445714.76787674]","[206404000.0, 874277000.0, 243871000.0, 298545032.2580645, 144666256.00336528]","[205710000.0, 1512568000.0, 454636000.0, 558253875.0, 410734708.61689955]","[194633000.0, 1482259000.0, 294002000.0, 453930222.2222222, 338535463.82330716]","[244741000.0, 2448836000.0, 324135000.0, 501190692.3076923, 567382063.8396866]",[39],[2]
0,"[205319000.0, 2081028000.0, 263728000.0, 468142437.5, 490757433.1184359]","[245106000.0, 1309629000.0, 286629500.0, 368339178.5714286, 229588197.6202258]","[171942000.0, 1728987000.0, 208882000.0, 435198923.0769231, 469017018.1774548]","[236875000.0, 705066000.0, 320631500.0, 331320730.7692308, 85178716.3699214]","[247649000.0, 1109705000.0, 310789000.0, 397228750.0, 238291676.28004587]","[166749000.0, 719881000.0, 273556000.0, 295588071.4285714, 131270934.35250857]","[210679000.0, 779655000.0, 303171500.0, 372382250.0, 184714307.7368061]","[191095000.0, 2520003000.0, 307751500.0, 472942500.0, 620286052.9385481]","[188875000.0, 673476000.0, 223394000.0, 275395466.6666667, 122375821.33785887]","[220944000.0, 854115000.0, 253351500.0, 305752722.2222222, 151622794.82130262]","[186384000.0, 1096539000.0, 264509500.0, 293738366.6666667, 155805357.6362686]","[190647000.0, 369108000.0, 233605000.0, 245939961.53846154, 43744012.548075795]","[225808000.0, 1803008000.0, 290945000.0, 525414166.6666667, 572396089.0570494]","[194981000.0, 1460685000.0, 266214000.0, 384921153.84615386, 326639224.01866376]","[279441000.0, 777940000.0, 332710000.0, 401889666.6666667, 150916317.86817783]",[39],[3]
0,"[146384000.0, 13024200000.0, 235684000.0, 477874527.027027, 1487030994.477207]","[237850000.0, 1755125000.0, 273536000.0, 300747198.5294118, 161329258.72788396]","[158246000.0, 1611680000.0, 451643000.0, 468434208.3333333, 234808588.511942]","[242063000.0, 1098638000.0, 302238000.0, 327945180.0, 107620866.29342657]","[178880000.0, 1618216000.0, 321143000.0, 365951295.2380952, 170248548.37593427]","[121635000.0, 275843000.0, 222053000.0, 209349800.0, 48534318.319034144]","[168773000.0, 1575501000.0, 269481000.0, 321338046.15384614, 230078511.66232735]","[151999000.0, 15234731000.0, 251435000.0, 597623894.7368422, 1973930900.7864313]","[133217000.0, 700362000.0, 228804000.0, 238551517.6470588, 83072407.25855993]","[129271000.0, 994798000.0, 177991000.0, 198211666.66666666, 107468220.99298391]","[159234000.0, 2047496000.0, 300375000.0, 399203607.14285713, 300145991.098539]","[133803000.0, 2446683000.0, 185124000.0, 289764000.0, 396060048.5599094]","[190659000.0, 585540000.0, 392267000.0, 376284375.0, 104122840.61618936]","[188790000.0, 1129337000.0, 410815000.0, 451482275.86206895, 219796678.05165887]","[119965000.0, 626913000.0, 153184500.0, 177936958.33333334, 96841875.39983205]",[40],[1]
0,"[150839000.0, 1036615000.0, 234565000.0, 259960085.7142857, 139875762.5119768]","[243430000.0, 731996000.0, 266683000.0, 301637974.35897434, 114018988.97844169]","[139974000.0, 1886171000.0, 420640000.0, 474108793.1034483, 361507858.9404127]","[238264000.0, 809728000.0, 283174000.0, 297209466.6666667, 89710210.74984844]","[266158000.0, 6862530000.0, 318201000.0, 605093886.7924528, 1260615423.7291396]","[127007000.0, 212965000.0, 151958000.0, 155775500.0, 29257180.974648487]","[141542000.0, 717999000.0, 284169500.0, 318480833.3333333, 155801570.76515272]","[151631000.0, 1274707000.0, 299194000.0, 412788882.35294116, 341817058.0540007]","[130245000.0, 1405462000.0, 201768500.0, 321405937.5, 340882750.3771401]","[117719000.0, 2206502000.0, 184205500.0, 278297468.75, 367747941.4889688]","[170351000.0, 1935611000.0, 284818000.0, 356566300.0, 282831102.4963662]","[118042000.0, 531197000.0, 181548500.0, 211005142.85714287, 104101061.99942517]","[201989000.0, 2403241000.0, 405775000.0, 531389923.0769231, 547802290.4211758]","[183114000.0, 477970000.0, 346366000.0, 339686600.0, 80427408.72099096]","[117731000.0, 206756000.0, 137136500.0, 147543375.0, 28722746.60847]",[40],[2]
0,"[154163000.0, 1737779000.0, 236330000.0, 305868200.0, 239249456.18966177]","[224670000.0, 407273000.0, 264481000.0, 268724961.03896105, 24418396.66042827]","[125756000.0, 5320812000.0, 428834000.0, 519318933.3333333, 736685703.0725111]","[240819000.0, 555748000.0, 290503000.0, 304014920.63492066, 56358674.89776349]","[210462000.0, 1518123000.0, 303863500.0, 358061560.6060606, 191789401.33110407]","[110050000.0, 347964000.0, 164568500.0, 180555333.33333334, 62598625.00131736]","[157807000.0, 2508038000.0, 268015000.0, 326370255.81395346, 346176302.31773]","[139923000.0, 1968039000.0, 292755000.0, 470715517.2413793, 477054943.10545945]","[131338000.0, 1615852000.0, 198564000.0, 251841823.52941176, 206293445.91679052]","[119398000.0, 1114742000.0, 170216000.0, 206425275.0, 154286408.82900015]","[177195000.0, 1384516000.0, 280593000.0, 383630363.6363636, 261877064.13231128]","[114868000.0, 325297000.0, 160896000.0, 176909233.33333334, 54498879.94548349]","[192871000.0, 3865173000.0, 394130000.0, 626311076.9230769, 938584757.8683773]","[221627000.0, 549252000.0, 418368000.0, 391198588.2352941, 96298452.3124418]","[125047000.0, 609473000.0, 149231000.0, 179865777.7777778, 105645905.74942924]",[40],[3]
0,"[263998000.0, 423970000.0, 340042000.0, 342013000.0, 57221479.35434735]","[192010000.0, 312129000.0, 263895000.0, 264148000.0, 43368769.99869837]","[143967000.0, 3840247000.0, 312020000.0, 420223310.3448276, 649034863.3091267]","[160095000.0, 743894000.0, 200018000.0, 257575000.0, 147684392.44099787]","[231891000.0, 344258000.0, 284010500.0, 286203000.0, 29622166.564922288]","[215867000.0, 335944000.0, 255845000.0, 261120488.37209302, 27382612.543212987]","[199722000.0, 920034000.0, 248011000.0, 287199510.63829786, 122080030.81687802]","[135937000.0, 447878000.0, 191977000.0, 220661850.0, 80945737.67795002]","[136183000.0, 271761000.0, 176230000.0, 185022809.52380952, 34940992.49499286]","[247807000.0, 368114000.0, 311659500.0, 309810000.0, 42913362.03911318]","[143989000.0, 576067000.0, 256008000.0, 264626937.5, 97133198.88268682]","[136478000.0, 551863000.0, 207423000.0, 217315173.91304347, 77883994.81092943]","[167965000.0, 303972000.0, 231877000.0, 234064727.27272728, 36942431.16007025]","[168207000.0, 375930000.0, 208009500.0, 247975833.33333334, 78476013.13653463]","[215947000.0, 511968000.0, 276353500.0, 297140642.85714287, 72841560.76484196]",[233],[1]
